PLAYER,TYPE,PRICE PAID,Year
Aaron Finch,Batsman,25500000,2015
Pragyan Ojha,Bowler,6000000,2015
Abhimanyu Mithun,Bowler,6000000,2015
Mitchell McClenaghan,Bowler,6000000,2015
Aiden Blizzard,Batsman,1200000,2015
Hardik Pandya,All-Rounder,1000000,2015
Akshay Wakhare,Bowler,1000000,2015
Nitish Rana,All-Rounder,1000000,2015
Siddhesh Dinesh Lad,All-Rounder,1000000,2015
J. Suchitch,All-Rounder,1000000,2015
Christopher Morris,All-Rounder,14000000,2015
Juan Theron,Bowler,3000000,2015
Barinder Singh Saran,Bowler,1000000,2015
Dinesh Salunkhe,All-Rounder,1000000,2015
Sagar Trivedi,All-Rounder,1000000,2015
Pardeep Sahu,All-Rounder,1000000,2015
Dinesh Karthik,Wicket Keeper,105000000,2015
Darren Sammy,All-Rounder,28000000,2015
David Wiese,All-Rounder,28000000,2015
Sean Abbott,Bowler,10000000,2015
Adam Milne,Bowler,7000000,2015
Sarfaraz Naushad Khan,Batsman,5000000,2015
Subramaniam Badrinath,Batsman,3000000,2015
Jalaj Saxena,All-Rounder,1000000,2015
Shishir Bhavane,Batsman,1000000,2015
Trent Boult,Bowler,38000000,2015
Praveen Kumar,Bowler,22000000,2015
Kevin Pietersen,Batsman,20000000,2015
Eoin Morgan,Batsman,15000000,2015
Ravi Bopara,All-Rounder,10000000,2015
Kane Williamson,All-Rounder,6000000,2015
Laxmi Ratan Shukla,All-Rounder,3000000,2015
Prasanth Padmanabhan,All-Rounder,1000000,2015
Hanuma Vihari,Batsman,1000000,2015
Siddarth Kaul,Bowler,1000000,2015
Pawan Negi,All-Rounder,37500000,2016
Christopher Morris,All-Rounder,36000000,2016
Sanju Samson,Wicket Keeper,1200000,2016
Carlos Brathwaite,All-Rounder,1200000,2016
Karun Nair,Batsman,1200000,2016
Rishabh Pant,Wicket Keeper,27000000,2016
Joel Paris,Bowler,15600000,2016
Sam Billings,Wicket Keeper,3000000,2016
Chama Milind,Bowler,30000000,2016
Pratyush Singh,All-Rounder,18000000,2016
Mahipal Lomror,All-Rounder,37500000,2016
Syed Khaleel Ahmed,All-Rounder,3000000,2016
Akhil Arvind Herwadkar,All-Rounder,60000000,2016
Pawan Suyal,Bowler,27000000,2016
Praveen Kumar,Bowler,24000000,2016
Dale Steyn,Bowler,6000000,2016
Dinesh Karthik,Wicket Keeper,3000000,2016
Dwayne Smith,All-Rounder,43500000,2016
Dhawal Kulkarni,Bowler,42000000,2016
Aaron Finch,Batsman,40500000,2016
Eklavya Dwivedi,Wicket Keeper,24000000,2016
Andrew Tye,All-Rounder,24000000,2016
Ishan Kishan,Wicket Keeper,12600000,2016
Jaydev Shah,All-Rounder,1200000,2016
Shadab Jakati,All-Rounder,31500000,2016
Pravin Tambe,Bowler,24000000,2016
Pradeep Sangwan,All-Rounder,18000000,2016
Amit Mishra,Bowler,17400000,2016
Shivil Kaushik,Bowler,9000000,2016
Akshdeep Nath,All-Rounder,6000000,2016
Sarabjit Ladda,Bowler,3000000,2016
Umang Sharma,Batsman,40500000,2016
Paras Dogra,Batsman,25500000,2016
Mohit Sharma,Bowler,6000000,2016
Kyle Abbott,Bowler,6000000,2016
K.C. Cariappa,Bowler,6000000,2016
Marcus Stoinis,All-Rounder,1200000,2016
Farhaan Behardien,All-Rounder,3000000,2016
Pardeep Sahu,All-Rounder,1000000,2016
Armaan Jaffer,Batsman,1000000,2016
Swapnil Singh,All-Rounder,1000000,2016
Jaydev Unadkat,Bowler,16000000,2016
Ankit Singh Rajpoot,Bowler,15000000,2016
John Hastings,Bowler,13000000,2016
Jason Holder,All-Rounder,7000000,2016
Colin Munro,All-Rounder,3000000,2016
Rajagopal Sathish,All-Rounder,2000000,2016
Manan Ajay Sharma,All-Rounder,1000000,2016
Jos Buttler,Wicket Keeper,38000000,2016
Nathu Singh,Bowler,32000000,2016
Tim Southee,Bowler,25000000,2016
Krunal Pandya,All-Rounder,20000000,2016
Kishore Pramod Kamath,All-Rounder,14000000,2016
Deepak Punia,All-Rounder,1000000,2016
Jitesh Sharma,Wicket Keeper,1000000,2016
Mitchell Marsh,All-Rounder,48000000,2016
M. Ashwin,Bowler,45000000,2016
Ishant Sharma,Bowler,38000000,2016
Kevin Pietersen,Batsman,35000000,2016
Irfan Pathan,All-Rounder,10000000,2016
Thisara Perera,All-Rounder,10000000,2016
Rajat Bhatia,All-Rounder,6000000,2016
Ashok Dinda,Bowler,5000000,2016
Scott Boland,Bowler,5000000,2016
Peter Handscomb,Wicket Keeper,3000000,2016
Rudra Pratap Singh,Bowler,3000000,2016
Adam Zampa,Bowler,3000000,2016
Ishwar Chandra Pandey,Bowler,2000000,2016
Deepak Chahar,All-Rounder,1000000,2016
Jaskaran Singh,Bowler,1000000,2016
Baba Aparajith,All-Rounder,1000000,2016
Ankush Bains,Wicket Keeper,1000000,2016
Ankit Sharma,All-Rounder,1000000,2016
Shane Watson,All-Rounder,95000000,2016
Stuart Binny,All-Rounder,20000000,2016
Kane Richardson,Bowler,20000000,2016
Samuel Badree,Bowler,5000000,2016
Travis Head,Batsman,5000000,2016
Praveen Dubey,All-Rounder,3500000,2016
Vikramjeet Malik,Bowler,2000000,2016
Akshay Karnewar,All-Rounder,1000000,2016
Iqbal Abdullah,All-Rounder,1000000,2016
Sachin Baby,Batsman,1000000,2016
Vikas Tokas,Bowler,1000000,2016
Yuvraj Singh,All-Rounder,70000000,2016
Ashish Nehra,Bowler,55000000,2016
Deepak Hooda,All-Rounder,42000000,2016
Mustafizur Rahman,Bowler,14000000,2016
Aditya Tare,Wicket Keeper,12000000,2016
Barinder Singh Sran,Bowler,12000000,2016
Ben Cutting,All-Rounder,5000000,2016
Vijay Shankar,All-Rounder,3500000,2016
Abhimanyu Mithun,Bowler,3000000,2016
Tirumalasetti Suman,Batsman,1000000,2016
Kagiso Rabada,Bowler,37500000,2017
Patrick Cummins,Bowler,36000000,2017
Angelo Mathews,All-Rounder,1200000,2017
Corey Anderson,All-Rounder,1200000,2017
M. Ashwin,Bowler,1200000,2017
Aditya Tare,Wicket Keeper,27000000,2017
Ankeet Bawane,Batsman,15600000,2017
Navdeep Saini,Bowler,3000000,2017
Shashank Singh,All-Rounder,30000000,2017
Jason Roy,Batsman,18000000,2017
Basil Thampi,Bowler,37500000,2017
Manpreet Gony,Bowler,3000000,2017
Nathu Singh,Bowler,60000000,2017
Munaf Patel,Bowler,27000000,2017
Akshdeep Nath,All-Rounder,24000000,2017
Shubam Agrawal,All-Rounder,6000000,2017
Tejas Singh Baroka,Bowler,3000000,2017
Chirag Suri,Batsman,43500000,2017
Pratham Singh,All-Rounder,42000000,2017
Shelley Shaurya,Bowler,40500000,2017
T Natarajan,Bowler,24000000,2017
Varun Aaron,Bowler,24000000,2017
Eoin Morgan,Batsman,12600000,2017
Matt Henry,Bowler,1200000,2017
Martin Guptill,Batsman,31500000,2017
Darren Sammy,All-Rounder,24000000,2017
Rahul Tewatia,All-Rounder,18000000,2017
Rinku Singh,Batsman,17400000,2017
Trent Boult,Bowler,9000000,2017
Chris Woakes,All-Rounder,6000000,2017
Nathan Coulter-Nile,Bowler,3000000,2017
Rishi Dhawan,All-Rounder,40500000,2017
Darren Bravo,Batsman,25500000,2017
Rovman Powell,All-Rounder,6000000,2017
Sayan Ghosh,Bowler,6000000,2017
R. Sanjay Yadav,All-Rounder,6000000,2017
Ishank Jaggi,Batsman,1200000,2017
Karn Sharma,All-Rounder,32000000,2017
Krishnappa Gowtham,All-Rounder,20000000,2017
Mitchell Johnson,Bowler,20000000,2017
Asela Gunarathna,Batsman,3000000,2017
Saurabh Tiwary,Batsman,3000000,2017
Nicolas Pooran,Wicket Keeper,3000000,2017
Kulwant Khejroliya,Bowler,1000000,2017
Benjamin Stokes,All-Rounder,145000000,2017
Daniel Christian,All-Rounder,10000000,2017
Manoj Tiwary,Batsman,5000000,2017
Lockie Ferguson,Bowler,5000000,2017
Jaydev Unadkat,Bowler,3000000,2017
Rahul Chahar,Bowler,1000000,2017
Saurabh Kumar,Bowler,1000000,2017
Milind Tandon,All-Rounder,1000000,2017
Rahul Ajay Tripathi,All-Rounder,1000000,2017
Tymal Mills,Bowler,120000000,2017
Aniket Choudhary,Bowler,20000000,2017
Pawan Negi,All-Rounder,10000000,2017
Billy Stanlake,Bowler,3000000,2017
Praveen Dubey,All-Rounder,1000000,2017
Rashid Khan Arman,Bowler,40000000,2017
Mohammed Siraj,Bowler,26000000,2017
Eklavya Dwivedi,Wicket Keeper,7500000,2017
Chris Jordan,All-Rounder,5000000,2017
Mohammad Nabi,All-Rounder,3000000,2017
Ben Laughlin,Bowler,3000000,2017
Pravin Tambe,Bowler,1000000,2017
Tanmay Agarwal,Batsman,1000000,2017
Kedar Jadhav,All-Rounder,37500000,2018
Dwayne Bravo,All-Rounder,36000000,2018
Karn Sharma,Bowler,1200000,2018
Shane Watson,All-Rounder,1200000,2018
Shardul Narendra Thakur,Bowler,1200000,2018
Ambati Rayudu,Wicket Keeper,27000000,2018
Murali Vijay,Batsman,15600000,2018
Harbhajan Singh,Bowler,3000000,2018
