POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year
126,"Murali Kartik
PWI",12,6,3,2,11,12.00,15,80.00,0,0,1,0,2011
127,"Ramesh Powar
KTK",11,5,3,2,8*,11.00,13,84.61,0,0,0,0,2011
128,"Dwayne Bravo
CSK",11,6,2,1,6*,11.00,6,183.33,0,0,1,1,2011
129,"Tim Paine
PWI",10,2,2,0,8,5.00,26,38.46,0,0,0,0,2011
130,"Abhishek Jhunjhunwala
PWI",10,3,2,0,10,5.00,18,55.55,0,0,2,0,2011
131,"Shaun Tait
RR",10,4,2,1,10*,10.00,10,100.00,0,0,1,0,2011
132,"Shane Warne
RR",10,13,4,2,5*,5.00,20,50.00,0,0,1,0,2011
133,"Siddharth Chitnis
PBKS",9,1,1,0,9,9.00,9,100.00,0,0,1,0,2011
134,"Swapnil Asnodkar
RR",9,1,1,0,9,9.00,9,100.00,0,0,1,0,2011
135,"Andrew McDonald
DC",8,1,1,0,8,8.00,7,114.28,0,0,0,0,2011
136,"Charl Langeveldt
RCB",8,3,1,0,8,8.00,8,100.00,0,0,0,1,2011
137,"Lasith Malinga
MI",8,16,4,1,7,2.66,9,88.88,0,0,0,1,2011
138,"Ishan Malhotra
DEC",7,1,1,1,7*,0.00,4,175.00,0,0,1,0,2011
139,"Arun Karthik
RCB",7,3,2,0,6,3.50,8,87.50,0,0,1,0,2011
140,"Ajit Agarkar
DC",7,7,2,1,7*,7.00,6,116.66,0,0,1,0,2011
141,"Mark Boucher
KKR",6,4,3,2,5,6.00,6,100.00,0,0,0,0,2011
142,"Pinal Shah
RR",5,2,1,0,5,5.00,5,100.00,0,0,1,0,2011
143,"Scott Styris
CSK",5,2,1,1,5*,0.00,2,250.00,0,0,1,0,2011
144,"Muttiah Muralitharan
KTK",5,5,1,1,5*,0.00,8,62.50,0,0,0,0,2011
145,"Brett Lee
KKR",5,12,4,1,2*,1.66,9,55.55,0,0,0,0,2011
146,"Sridharan Sriram
DC",4,1,1,0,4,4.00,7,57.14,0,0,0,0,2011
147,"Shalabh Srivastava
PBKS",4,6,2,2,3*,0.00,3,133.33,0,0,0,0,2011
148,"Ishant Sharma
DEC",4,12,5,5,1*,0.00,5,80.00,0,0,0,0,2011
149,"Lakshmipathy Balaji
KKR",4,14,2,2,3*,0.00,2,200.00,0,0,0,0,2011
150,"Ryan Ninan
RCB",3,2,1,0,3,3.00,6,50.00,0,0,0,0,2011
151,"Unmukt Chand
DC",2,2,2,0,2,1.00,12,16.66,0,0,0,0,2011
152,"Ali Murtaza
MI",2,5,1,1,2*,0.00,5,40.00,0,0,0,0,2011
153,"Dhawal Kulkarni
MI",2,6,2,1,2,2.00,4,50.00,0,0,0,0,2011
154,"Shrikant Wagh
PWI",2,7,2,0,2,1.00,3,66.66,0,0,0,0,2011
155,"Suraj Randiv
CSK",2,8,1,0,2,2.00,4,50.00,0,0,0,0,2011
156,"RP Singh
KTK",2,14,5,2,1*,0.66,4,50.00,0,0,0,0,2011
157,"Ravichandran Ashwin
CSK",2,16,2,0,2,1.00,6,33.33,0,0,0,0,2011
158,"Ankeet Chavan
RR",1,2,1,0,1,1.00,3,33.33,0,0,0,0,2011
159,"Umesh Yadav
DC",1,7,2,1,1*,1.00,5,20.00,0,0,0,0,2011
160,"Amit Singh
RR",1,9,2,0,1,0.50,4,25.00,0,0,0,0,2011
161,"Shanthakumaran Sreesanth
KTK",1,9,3,1,1,0.50,9,11.11,0,0,0,0,2011
