PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year,TEAM,Price,TYPE
Praveen Kumar,17,12,4,1,12,5.66,25,68.0,0,0,1,0,2015,SRH,22000000.0,Bowler
Sean Abbott,15,2,2,0,14,7.5,13,115.38,0,0,1,1,2015,RCB,10000000.0,Bowler
Mitchell McClenaghan,13,12,3,2,12*,13.0,6,216.66,0,0,0,2,2015,MI,6000000.0,Bowler
Amit Mishra,8,12,4,2,4,4.0,12,66.66,0,0,0,0,2015,DC,3000000.0,Bowler
Brad Hogg,7,6,2,1,5,7.0,6,116.66,0,0,0,0,2015,KKR,17400000.0,Bowler
Juan Theron,1,1,1,1,1*,0.0,1,100.0,0,0,0,0,2015,RR,3000000.0,Bowler
Mohit Sharma,32,14,6,2,15,8.0,26,123.07,0,0,3,1,2016,PBKS,6000000.0,Bowler
Tim Southee,30,11,4,1,25,10.0,19,157.89,0,0,1,2,2016,MI,25000000.0,Bowler
Praveen Kumar,28,16,7,3,15,7.0,27,103.7,0,0,4,0,2016,GL,24000000.0,Bowler
Dhawal Kulkarni,23,14,5,3,6*,11.5,15,153.33,0,0,2,0,2016,GL,42000000.0,Bowler
Kyle Abbott,13,5,3,2,12*,13.0,8,162.5,0,0,0,1,2016,PBKS,6000000.0,Bowler
Pravin Tambe,7,7,1,1,7*,0.0,19,36.84,0,0,1,0,2016,GL,24000000.0,Bowler
Amit Mishra,4,14,2,0,3,2.0,14,28.57,0,0,0,0,2016,DC,17400000.0,Bowler
Dale Steyn,1,1,1,0,1,1.0,2,50.0,0,0,0,0,2016,GL,6000000.0,Bowler
Kane Richardson,1,4,1,1,1*,0.0,1,100.0,0,0,0,0,2016,RCB,20000000.0,Bowler
Ashish Nehra,1,8,2,2,1*,0.0,1,100.0,0,0,0,0,2016,SRH,55000000.0,Bowler
Adam Zampa,0,5,1,0,0*,0.0,1,0.0,0,0,0,0,2016,RPS,3000000.0,Bowler
Shivil Kaushik,0,7,2,1,0*,0.0,1,0.0,0,0,0,0,2016,GL,9000000.0,Bowler
Kagiso Rabada,55,6,3,0,44,18.33,64,85.93,0,0,5,1,2017,DC,37500000.0,Bowler
Basil Thampi,28,12,5,5,13*,0.0,28,100.0,0,0,1,1,2017,GL,37500000.0,Bowler
Aniket Choudhary,25,5,3,2,15*,25.0,20,125.0,0,0,1,1,2017,RCB,20000000.0,Bowler
Mitchell Johnson,20,5,3,3,13*,0.0,17,117.64,0,0,1,1,2017,MI,20000000.0,Bowler
Nathan Coulter-Nile,14,8,3,0,6,4.66,12,116.66,0,0,0,2,2017,KKR,3000000.0,Bowler
Tymal Mills,8,5,3,0,6,2.66,11,72.72,0,0,0,1,2017,RCB,120000000.0,Bowler
Trent Boult,5,6,1,1,5*,0.0,8,62.5,0,0,0,0,2017,KKR,9000000.0,Bowler
Varun Aaron,4,6,2,1,4,4.0,10,40.0,0,0,0,0,2017,PBKS,24000000.0,Bowler
Rahul Chahar,3,3,1,1,3*,0.0,2,150.0,0,0,0,0,2017,RPS,1000000.0,Bowler
Jaydev Unadkat,2,12,2,2,2*,0.0,5,40.0,0,0,0,0,2017,RPS,3000000.0,Bowler
Lockie Ferguson,1,4,1,1,1*,0.0,1,100.0,0,0,0,0,2017,RPS,5000000.0,Bowler
Munaf Patel,0,2,1,0,0*,0.0,1,0.0,0,0,0,0,2017,GL,27000000.0,Bowler
Krishnappa Gowtham,126,15,13,4,33*,14.0,64,196.87,0,0,9,9,2018,RR,62000000.0,Bowler
Tim Southee,52,8,4,2,36*,26.0,46,113.04,0,0,5,1,2018,RCB,10000000.0,Bowler
Jaydev Unadkat,49,15,7,3,26,12.25,38,128.94,0,0,6,1,2018,RR,115000000.0,Bowler
Andrew Tye,32,14,8,2,14,5.33,38,84.21,0,0,2,1,2018,PBKS,72000000.0,Bowler
Harbhajan Singh,29,13,3,0,19,9.66,36,80.55,0,0,3,1,2018,CSK,3000000.0,Bowler
Piyush Chawla,27,15,7,3,12,6.75,34,79.41,0,0,1,1,2018,KKR,42000000.0,Bowler
Mohammed Siraj,25,11,4,2,14,12.5,22,113.63,0,0,2,1,2018,RCB,26000000.0,Bowler
