PLAYER, RUNS, MAT, INNS, NO, HS, AVG, BF, SR,100,50, 4S, 6S, Year, TEAM, Price, TYPE, nid, Wicket
Jaydev Unadkat,1,11,4,3,1,1,3,33.33,0,0,0,0,2019, RR,84000000, Bowler, junadkat,10
Mohammad Shami,1,14,2,1, 1*,1,2,50,0,0,0,0,2019, PBKS,24000000, Bowler, mshami,19
Mohit Sharma,0,1,1,1, 0*,0,2,0,0,0,0,0,2019, CSK,37500000, Bowler, msharma,1
Tushar Deshpande,21,5,2,1, 20*,21,12,175,0,0,2,1,2020, DC,37500000, Bowler, tdeshpande,3
Jaydev Unadkat,9,7,1,0,9,9,13,69.23,0,0,0,0,2020, RR,12600000, Bowler, junadkat,4
Ravi Bishnoi,7,14,3,2, 6*,7,12,58.33,0,0,1,0,2020, PBKS,6000000, Bowler, rbishnoi,12
Andrew Tye,6,1,1,0,6,6,6,100,0,0,0,1,2020, RR,18000000, Bowler, atye,1
Kartik Tyagi,4,10,3,2, 2*,4,6,66.66,0,0,0,0,2020, RR,31500000, Bowler, ktyagi,9
Dale Steyn,1,3,1,1, 1*,0,2,50,0,0,0,0,2020, RCB,6000000, Bowler, dsteyn,1
Sheldon Cottrell,0,6,1,0, 0*,0,2,0,0,0,0,0,2020, PBKS,27000000, Bowler, scottrell,6
Adam Milne,16,4,3,1,15,8,17,94.11,0,0,0,1,2021, MI,1200000, Bowler, amilne,3
Chetan Sakariya,16,14,6,1,7,3.2,25,64,0,0,2,0,2021, RR,12000000, Bowler, csakariya,14
Jhye Richardson,15,3,2,0,15,7.5,24,62.5,0,0,2,0,2021, PBKS,6000000, Bowler, jrichardson,3
Mustafizur Rahman,8,14,5,5, 8*,0,14,57.14,0,0,0,1,2021, RR,10000000, Bowler, mrahman,14
Nathan Coulter-Nile,4,5,2,0,3,2,5,80,0,0,0,0,2021, MI,12600000, Bowler, ncoulter-nile,7
Piyush Chawla,0,1,1,0, 0*,0,2,0,0,0,0,0,2021, MI,31500000, Bowler, pchawla,1
Shardul Thakur,120,14,10,2, 29*,15,87,137.93,0,0,7,7,2022, DC,24000000, Bowler, sthakur,15
Rahul Chahar,77,13,8,2, 25*,12.83,68,113.23,0,0,7,4,2022, PBKS,52500000, Bowler, rchahar,14
Jaydev Unadkat,59,5,5,2, 19*,19.67,37,159.45,0,0,4,3,2022, MI,13000000, Bowler, junadkat,6
Umesh Yadav,55,12,7,3,21,13.75,40,137.5,0,0,4,4,2022, KKR,20000000, Bowler, uyadav,16
Kagiso Rabada,48,13,8,3,25,9.6,43,111.62,0,0,5,2,2022, PBKS,92500000, Bowler, krabada,23
Kuldeep Yadav,48,14,7,6, 16*,48,52,92.3,0,0,3,2,2022, DC,9000000, Bowler, kyadav,21
Trent Boult,40,16,8,6, 17*,20,29,137.93,0,0,2,1,2022, RR,80000000, Bowler, tboult,16
Bhuvneshwar Kumar,24,14,6,3,8,8,26,92.3,0,0,3,0,2022, SRH,42000000, Bowler, bkumar,12
Mohsin Khan,23,9,3,2, 13*,23,16,143.75,0,0,2,1,2022, LSG,2000000, Bowler, mkhan,14
Avesh Khan,22,13,4,3,12,22,13,169.23,0,0,0,3,2022, LSG,100000000, Bowler, akhan,18
Josh Hazlewood,18,12,5,5, 7*, -,26,69.23,0,0,1,0,2022, RCB,77500000, Bowler, jhazlewood,20
Murugan Ashwin,12,8,5,2,6,4,14,85.71,0,0,1,1,2022, MI,16000000, Bowler, mashwin,9
Shreyas Gopal,9,1,1,1, 9*, -,7,128.57,0,0,2,0,2022, SRH,7500000, Bowler, sgopal,1
Sean Abbott,7,1,1,0,7,7,5,140,0,0,0,1,2022, SRH,24000000, Bowler, sabbott,1
Maheesh Theekshana,7,9,2,1, 7*,7,7,100,0,0,0,1,2022, CSK,3000000, Bowler, mtheekshana,12
Simarjeet Singh,7,6,3,2, 3*,7,8,87.5,0,0,0,0,2022, CSK,43500000, Bowler, ssingh,4
Mukesh Choudhary,6,13,2,1,4,6,6,100,0,0,1,0,2022, CSK,40500000, Bowler, mchoudhary,16
Lockie Ferguson,5,13,3,1,5,2.5,4,125,0,0,1,0,2022, GT,100000000, Bowler, lferguson,12
Alzarri Joseph,5,9,3,2, 4*,5,7,71.42,0,0,0,0,2022, GT,24000000, Bowler, ajoseph,7
Yuzvendra Chahal,5,17,2,1,5,5,8,62.5,0,0,0,0,2022, RR,65000000, Bowler, ychahal,27
Vaibhav Arora,5,5,4,2, 2*,2.5,13,38.46,0,0,0,0,2022, PBKS,20000000, Bowler, varora,3
Mustafizur Rahman,3,8,1,1, 3*, -,5,60,0,0,0,0,2022, DC,17400000, Bowler, mrahman,8
Navdeep Saini,2,2,1,0,2,2,2,100,0,0,0,0,2022, RR,26000000, Bowler, nsaini,3
Fazalhaq Farooqi,2,3,1,1, 2*, -,8,25,0,0,0,0,2022, SRH,5000000, Bowler, ffarooqi,2
Jagadeesha Suchith,2,5,2,0,2,1,8,25,0,0,0,0,2022, SRH,2000000, Bowler, jsuchith,7
Tim Southee,2,9,5,1, 1*,0.5,12,16.66,0,0,0,0,2022, KKR,15000000, Bowler, tsouthee,14
Piyush Chawla,25,16,4,2,18,12.5,22,113.63,0,0,1,1,2023, MI,5000000, Bowler, pchawla,22
Adil Rashid,22,2,2,0,18,11,16,137.5,0,0,2,1,2023, SRH,20000000, Bowler, arashid,2
Mayank Markande,21,10,3,3, 18*, -,13,161.53,0,0,2,1,2023, SRH,5000000, Bowler, mmarkande,12
Amit Mishra,19,7,1,0,19,19,30,63.33,0,0,2,0,2023, LSG,6000000, Bowler, amishra,7
Adam Zampa,10,6,3,0,7,3.33,16,62.5,0,0,0,0,2023, RR,15000000, Bowler, azampa,8
Mukesh Kumar,7,10,3,3, 6*, -,9,77.77,0,0,0,0,2023, DC,3000000, Bowler, mkumar,7
Vaibhav Arora,3,5,2,2, 2*, -,2,150,0,0,0,0,2023, KKR,12600000, Bowler, varora,5
Ishant Sharma,1,8,1,1, 1*, -,1,100,0,0,0,0,2023, DC,3000000, Bowler, isharma,10
Jaydev Unadkat,24,11,5,2, 8*,8,26,92.3,0,0,2,1,2024, SRH,16000000, Bowler, junadkat,8
Umesh Yadav,12,7,2,1, 10*,12,15,80,0,0,0,1,2024, GT,43500000, Bowler, uyadav,8
Mitchell Starc,9,14,5,3, 6*,4.5,11,81.81,0,0,1,0,2024, KKR,1200000, Bowler, mstarc,17
Spencer Johnson,6,5,3,3, 5*, -,7,85.71,0,0,1,0,2024, GT,6000000, Bowler, sjohnson,4
Lockie Ferguson,1,7,1,0,1,1,1,100,0,0,0,0,2024, RCB,20000000, Bowler, lferguson,9
